id,team,country,league,season_start,season_end,final_league_pos,home_matches,home_wins,home_draws,home_losses,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_match,home_goals_for,home_goals_for_per_90,home_goals_against,home_goals_against_per_90,home_xg,home_xg_avg,away_matches,away_wins,away_draws,away_losses,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_match,away_goals_for,away_goals_for_per_90,away_goals_against,away_goals_against_per_90,away_xg,away_xg_avg,home_penalties_won,home_penalties_conceded,away_penalties_won,away_penalties_conceded,home_fouls_won_avg,home_fouls_conceded_avg,home_yellow_cards_won,home_yellow_cards_conceded,home_red_cards_won,home_red_conceded,away_fouls_won_avg,away_fouls_conceded_avg,away_yellow_cards_won,away_yellow_cards_conceded,away_red_cards_won,away_red_cards_conceded
56,Empoli,it,Serie A,2014,2015,15,19,6,8,5,0.315789474,0.421052632,0.263157895,1.37,26,1.368421053,22,1.157894737,,,19,2,10,7,0.105263158,0.526315789,0.368421053,0.84,20,1.052631579,30,1.578947368,,,1,,2,,174.7368421,125.7894737,23.15789474,13.15789474,1.578947368,1.578947368,155.2631579,131.5789474,25.26315789,17.36842105,1.578947368,0.526315789
57,Freiburg,de,Bundesliga,2014,2015,17,17,5,6,6,0.294117647,0.352941176,0.352941176,1.24,21,1.235294118,22,1.294117647,,,17,2,7,8,0.117647059,0.411764706,0.470588235,0.76,15,0.882352941,25,1.470588235,,,3,,6,,154.7058824,140,20.58823529,15.88235294,1.176470588,1.764705882,141.1764706,149.4117647,14.11764706,21.17647059,0.588235294,0.588235294
58,QPR,eng,Premier League,2014,2015,20,19,6,5,8,0.315789474,0.263157895,0.421052632,1.21,23,1.210526316,24,1.263157895,,,19,2,1,16,0.105263158,0.052631579,0.842105263,0.37,19,1,49,2.578947368,,,3,,2,,113.6842105,116.8421053,14.73684211,18.94736842,0.526315789,0.526315789,105.2631579,118.4210526,11.57894737,20.52631579,1.052631579,1.052631579
59,Espanyol,es,La Liga,2014,2015,10,19,8,6,5,0.421052632,0.315789474,0.263157895,1.58,23,1.210526316,19,1,,,19,5,4,10,0.263157895,0.210526316,0.526315789,1,24,1.263157895,32,1.684210526,,,0,,3,,,,,,,,,,,,,
60,Sevilla,es,La Liga,2014,2015,5,19,13,5,1,0.684210526,0.263157895,0.052631579,2.32,38,2,13,0.684210526,,,19,10,2,7,0.526315789,0.105263158,0.368421053,1.68,33,1.736842105,32,1.684210526,,,5,,5,,130,157.3684211,33.15789474,29.47368421,2.631578947,0.526315789,147.3684211,160.5263158,32.63157895,31.05263158,0.526315789,0.526315789
61,Dortmund,de,Bundesliga,2014,2015,7,17,9,3,5,0.529411765,0.176470588,0.294117647,1.76,26,1.529411765,15,0.882352941,,,17,4,4,9,0.235294118,0.235294118,0.529411765,0.94,21,1.235294118,27,1.588235294,,,1,,2,,128.8235294,134.7058824,20.58823529,15.29411765,1.176470588,0,136.4705882,132.3529412,17.05882353,16.47058824,0.588235294,0
62,Newcastle Utd,eng,Premier League,2014,2015,15,19,7,5,7,0.368421053,0.263157895,0.368421053,1.37,26,1.368421053,27,1.421052632,,,19,3,4,12,0.157894737,0.210526316,0.631578947,0.68,14,0.736842105,36,1.894736842,,,0,,1,,,,,,,,,,,,,
63,Rennes,fr,Ligue 1,2014,2015,9,19,8,5,6,0.421052632,0.263157895,0.315789474,1.53,22,1.157894737,22,1.157894737,,,19,5,6,8,0.263157895,0.315789474,0.421052632,1.11,13,0.684210526,20,1.052631579,,,1,,2,,106.8421053,110,17.89473684,15.26315789,1.578947368,0,122.6315789,143.6842105,17.36842105,13.68421053,1.052631579,0.526315789
64,Manchester City,eng,Premier League,2014,2015,2,19,14,3,2,0.736842105,0.157894737,0.105263158,2.37,44,2.315789474,14,0.736842105,,,19,10,4,5,0.526315789,0.210526316,0.263157895,1.79,39,2.052631579,24,1.263157895,,,6,,2,,,,,,,,,,,,,
65,Köln,de,Bundesliga,2014,2015,12,17,4,9,4,0.235294118,0.529411765,0.235294118,1.24,18,1.058823529,17,1,,,17,5,4,8,0.294117647,0.235294118,0.470588235,1.12,16,0.941176471,23,1.352941176,,,2,,2,,,,,,,,,,,,,
